City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,rikitea,PF,-23.12,-134.97,74.46,86,86,21.72,light rain
1,atuona,PF,-9.8,-139.03,77.41,80,28,14.34,light rain
2,kapaa,US,22.08,-159.32,82.4,74,1,5.82,clear sky
3,bredasdorp,ZA,-34.53,20.04,64.4,88,39,8.05,scattered clouds
4,borger,NL,52.92,6.79,62.01,93,98,11.01,overcast clouds
5,kodiak,US,57.79,-152.41,30.2,50,75,9.17,broken clouds
6,cape town,ZA,-33.93,18.42,66.2,68,0,14.99,clear sky
7,vaini,TO,-21.2,-175.2,78.8,78,20,12.75,few clouds
8,bluff,NZ,-46.6,168.33,51.01,81,97,8.01,overcast clouds
9,codrington,AU,-38.27,141.97,60.22,78,38,8.48,scattered clouds
10,clyde river,CA,70.47,-68.59,10.4,92,90,4.7,light snow
11,ponta do sol,PT,32.67,-17.1,69.01,72,20,3.36,few clouds
12,severo-kurilsk,RU,50.68,156.12,41.65,73,2,6.73,clear sky
13,sitka,US,57.05,-135.33,46.4,93,90,8.08,moderate rain
14,puerto ayora,EC,-0.74,-90.35,77.0,73,40,20.8,scattered clouds
15,eyl,SO,7.98,49.82,79.09,68,0,15.61,clear sky
16,hermanus,ZA,-34.42,19.23,64.99,83,6,11.01,clear sky
17,yellowknife,CA,62.46,-114.35,17.6,85,90,9.17,light snow
18,yershov,RU,51.35,48.28,43.97,68,53,8.01,broken clouds
19,morondava,MG,-20.28,44.28,75.79,84,0,5.61,clear sky
20,nakhon phanom,TH,17.33,104.42,68.83,90,68,3.78,broken clouds
21,jacksonville beach,US,30.29,-81.39,73.99,78,90,11.41,overcast clouds
22,san patricio,US,28.02,-97.52,82.99,37,20,11.41,few clouds
23,pisco,PE,-13.7,-76.22,64.4,82,90,11.41,overcast clouds
24,busselton,AU,-33.65,115.33,55.99,80,83,5.53,broken clouds
25,albany,US,42.6,-73.97,46.99,85,100,3.0,overcast clouds
26,castro,BR,-24.79,-50.01,54.97,84,14,7.72,few clouds
